"registertime;""departurefloor"";""destinationfloor"";""el_idatfield"";""waitingtime"";""ridingtime"";""servicetime"";""registertime_year"";""registertime_quarter"";""registertime_month"";""registertime_day"";""registertime_hour"";""registertime_dayofweek"";""iserroroccured"";""isup"";""registertime_30min"";""registertime_15min"";""registertime_5min"""
"2015-09-13 16:02:15.5;16;3;3;""00:00:28"";""00:01:15.7"";""00:01:43.7"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:06.8;13;9;2;""00:00:37.9"";""00:00:22"";""00:00:59.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:01.7;13;12;4;""00:00:48.9"";""00:00:17.6"";""00:01:06.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:04.7;13;12;4;""00:00:45.9"";""00:00:17.6"";""00:01:03.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:16.8;16;11;1;""00:00:26.3"";""00:00:39.6"";""00:01:05.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:55.5;13;11;1;""00:01:07.9"";""00:00:19.3"";""00:01:27.2"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:18.3;13;11;1;""00:00:45.1"";""00:00:19.3"";""00:01:04.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:59.7;13;3;2;""00:00:45"";""00:00:50.6"";""00:01:35.6"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:22.8;16;10;1;""00:00:20.3"";""00:00:59.2"";""00:01:19.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:52.5;16;8;1;""00:00:50.6"";""00:01:20.8"";""00:02:11.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:03.5;16;8;1;""00:00:39.6"";""00:01:20.8"";""00:02:00.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:02.5;16;8;4;""00:00:35.2"";""00:00:27"";""00:01:02.2"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:34.3;16;6;4;""00:00:03.4"";""00:00:48.2"";""00:00:51.6"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:47.6;13;3;2;""00:00:26.7"";""00:00:27.1"";""00:00:53.8"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:52.3;16;12;3;""00:00:13.8"";""00:00:36.3"";""00:00:50.1"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:42.8;16;10;3;""00:00:23.3"";""00:00:57.9"";""00:01:21.2"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:05:29.6;16;8;1;""00:00:06.9"";""00:00:33.4"";""00:00:40.3"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:05:58.9;16;11;4;""00:00:03.6"";""00:00:24"";""00:00:27.6"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:05:00.6;16;6;3;""00:00:05.5"";""00:01:22.3"";""00:01:27.8"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:05:02.6;16;6;3;""00:00:03.5"";""00:01:22.3"";""00:01:25.8"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:04:56.8;16;7;1;""00:00:39.7"";""00:00:52.8"";""00:01:32.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:05:19.5;16;5;1;""00:00:17"";""00:01:14.5"";""00:01:31.5"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:04:37.3;16;3;3;""00:00:28.8"";""00:01:47.2"";""00:02:16"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:05:14.1;16;3;3;""00:00:03.4"";""00:01:35.8"";""00:01:39.2"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:05:40.4;16;3;4;""00:00:22.1"";""00:00:55.4"";""00:01:17.5"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:06:39.5;16;11;2;""00:00:03.5"";""00:00:31.4"";""00:00:34.9"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:06:07;16;7;2;""00:00:28.7"";""00:01:09.5"";""00:01:38.2"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:05:37.9;16;5;1;""00:00:03.5"";""00:01:09.6"";""00:01:13.1"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:06:56.6;3;7;3;""00:00:03.4"";""00:00:23.4"";""00:00:26.8"";2015;3;9;13;16;0;f;t;0;0;5"
"2015-09-13 16:07:02.7;16;15;1;""00:00:25.4"";""00:00:16.9"";""00:00:42.3"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:07:00.6;16;14;1;""00:00:27.5"";""00:00:36.5"";""00:01:04"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:07:29.5;16;4;4;""00:00:08.4"";""00:00:34.4"";""00:00:42.8"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:07:30.9;16;4;4;""00:00:07"";""00:00:34.4"";""00:00:41.4"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:07:19.8;11;6;2;""00:00:03.5"";""00:01:00.6"";""00:01:04.1"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:06:57.9;16;10;1;""00:00:30.2"";""00:01:01"";""00:01:31.2"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:07:07.4;16;3;4;""00:00:30.5"";""00:00:56.1"";""00:01:26.6"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:07:52.7;7;10;3;""00:00:35.5"";""00:00:20.9"";""00:00:56.4"";2015;3;9;13;16;0;f;t;0;0;5"
"2015-09-13 16:07:59.9;7;13;3;""00:00:28.3"";""00:00:44"";""00:01:12.3"";2015;3;9;13;16;0;f;t;0;0;5"
"2015-09-13 16:08:02.7;7;16;2;""00:00:43.8"";""00:00:27"";""00:01:10.8"";2015;3;9;13;16;0;f;t;0;0;5"
"2015-09-13 16:08:41.1;16;4;1;""00:00:18.7"";""00:00:33.4"";""00:00:52.1"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:08:50.8;16;4;1;""00:00:09"";""00:00:33.4"";""00:00:42.4"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:09:23;16;9;2;""00:00:03.5"";""00:00:26.2"";""00:00:29.7"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:09:36.5;16;15;3;""00:00:59.8"";""00:00:17.3"";""00:01:17.1"";2015;3;9;13;16;0;f;f;0;0;5"
"2015-09-13 16:11:05.7;16;15;3;""00:00:09.5"";""00:00:22.8"";""00:00:32.3"";2015;3;9;13;16;0;f;f;0;0;10"
"2015-09-13 16:11:17.8;16;15;3;""00:00:03.5"";""00:00:16.7"";""00:00:20.2"";2015;3;9;13;16;0;f;f;0;0;10"
"2015-09-13 16:11:25.4;16;14;2;""00:00:19.3"";""00:00:17.5"";""00:00:36.8"";2015;3;9;13;16;0;f;f;0;0;10"
"2015-09-13 16:11:53.4;4;3;4;""00:00:03.5"";""00:00:18.9"";""00:00:22.4"";2015;3;9;13;16;0;f;f;0;0;10"
"2015-09-13 16:11:42.5;16;15;3;""00:00:17"";""00:00:17.3"";""00:00:34.3"";2015;3;9;13;16;0;f;f;0;0;10"
"2015-09-13 16:12:10;15;16;3;""00:00:08.9"";""00:00:17.4"";""00:00:26.3"";2015;3;9;13;16;0;f;t;0;0;10"
"2015-09-13 16:12:08.3;14;15;2;""00:00:03.5"";""00:00:28.7"";""00:00:32.2"";2015;3;9;13;16;0;f;t;0;0;10"
"2015-09-13 16:12:55.8;15;16;2;""00:00:03.4"";""00:00:20.2"";""00:00:23.6"";2015;3;9;13;16;0;f;t;0;0;10"
"2015-09-13 16:12:55;4;3;1;""00:00:12.3"";""00:00:15.9"";""00:00:28.2"";2015;3;9;13;16;0;f;f;0;0;10"
"2015-09-13 16:13:51.1;3;13;1;""00:00:03.7"";""00:00:28.3"";""00:00:32"";2015;3;9;13;16;0;f;t;0;0;10"
"2015-09-13 18:36:11.2;6;15;2;""00:00:03.5"";""00:00:28.8"";""00:00:32.3"";2015;3;9;13;18;0;f;t;30;30;35"
"2015-09-13 18:36:13.3;6;14;4;""00:00:09.3"";""00:00:27.8"";""00:00:37.1"";2015;3;9;13;18;0;f;t;30;30;35"
"2015-09-13 18:36:04.8;6;16;2;""00:00:03.5"";""00:00:54.5"";""00:00:58"";2015;3;9;13;18;0;f;t;30;30;35"
"2015-09-13 18:36:26.4;6;13;1;""00:00:16.7"";""00:00:27"";""00:00:43.7"";2015;3;9;13;18;0;f;t;30;30;35"
"2015-09-13 18:37:07.5;6;10;3;""00:00:04.6"";""00:00:22"";""00:00:26.6"";2015;3;9;13;18;0;f;t;30;30;35"
"2015-09-13 18:37:01.5;6;11;4;""00:00:20.6"";""00:00:23.8"";""00:00:44.4"";2015;3;9;13;18;0;f;t;30;30;35"
